시점,시도별,사업체수 (개),종사자수 (명),매출액 (백만원),건물연면적 (㎡)
2016,전국,51551,152523,7131077,-
2017,전국,56928,164512,7850364,5620726
2018,전국,66231,197088,9687014,6457931
2019,전국,76145,224328,11067973,7707538
2016,서울특별시,13187,45507,2629402,-
2017,서울특별시,13662,46712,2752770,1164347
2018,서울특별시,15056,54003,3369322,1319325
2019,서울특별시,16255,57322,3762015,1464670
2016,부산광역시,3253,10463,477764,-
2017,부산광역시,3596,11285,521476,328214
2018,부산광역시,4190,13391,622919,404854
2019,부산광역시,4807,15177,691498,397316
2016,대구광역시,2697,7970,310152,-
2017,대구광역시,2975,8506,366286,319816
2018,대구광역시,3314,9780,423246,371109
2019,대구광역시,3707,10451,472867,547924
2016,인천광역시,2367,6932,277072,-
2017,인천광역시,2743,7674,322493,201018
2018,인천광역시,3238,9436,429730,273897
2019,인천광역시,3728,11022,480350,413565
2016,광주광역시,1731,5435,220705,-
2017,광주광역시,1967,5817,235877,240492
2018,광주광역시,2254,6855,269001,246048
2019,광주광역시,2662,8031,338087,306762
2016,대전광역시,1840,5295,217817,-
2017,대전광역시,2062,5654,245166,166231
2018,대전광역시,2416,6727,301171,244099
2019,대전광역시,2787,7631,324636,340909
2016,울산광역시,1047,2907,121964,-
2017,울산광역시,1141,2973,135169,159969
2018,울산광역시,1364,3661,176083,154298
2019,울산광역시,1599,4275,184542,150783
2016,세종특별자치시,231,692,40905,-
2017,세종특별자치시,266,764,37383,23682
2018,세종특별자치시,356,1049,43220,31755
2019,세종특별자치시,490,1461,62865,58136
