행정구역별(1),2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020
행정구역별(1),인구십만명당 체육시설수<br>(A÷B×100000) (개),체육시설수<br>(A) (개),주민등록인구<br>(B) (명),인구십만명당 체육시설수<br>(A÷B×100000) (개),체육시설수<br>(A) (개),주민등록인구<br>(B) (명),인구십만명당 체육시설수<br>(A÷B×100000) (개),체육시설수<br>(A) (개),주민등록인구<br>(B) (명),인구십만명당 체육시설수<br>(A÷B×100000) (개),체육시설수<br>(A) (개),주민등록인구<br>(B) (명),인구십만명당 체육시설수<br>(A÷B×100000) (개),체육시설수<br>(A) (개),주민등록인구<br>(B) (명)
전국,112.8,58321,51696216,113.7,58884,51778544,109.7,56854,51826059,102.1,52960,51849861,100.9,52274,51829023
서울특별시,117.1,11631,9930616,114,11237,9857426,115.5,11279,9765623,104,10116,9729107,86.2,8331,9668465
부산광역시,94.9,3319,3498529,95.5,3313,3470653,90.3,3108,3441453,89.8,3064,3413841,96.1,3261,3391946
대구광역시,99.6,2474,2484557,100.8,2494,2475231,97.6,2402,2461769,93.6,2283,2438031,100.7,2436,2418346
인천광역시,118.5,3487,2943069,111.7,3293,2948542,109.4,3233,2954642,106.6,3153,2957026,104.4,3073,2942828
광주광역시,112.4,1652,1469214,119.2,1745,1463770,112.4,1641,1459336,112.5,1638,1456468,120.5,1748,1450062
대전광역시,112.5,1704,1514370,118.4,1779,1502227,115.9,1727,1489936,113.6,1675,1474870,122.1,1787,1463882
울산광역시,134.1,1572,1172304,134.7,1569,1165132,126.7,1464,1155623,110.8,1272,1148019,103.7,1178,1136017
세종특별자치시,101.2,246,243048,99.3,278,280100,84,264,314126,83.1,283,340575,91.1,324,355831
경기도,112.1,14251,12716780,115.1,14823,12873895,107.4,14048,13077153,94,12446,13239666,98.8,13267,13427014
강원도,130.3,2021,1550806,132.4,2052,1550142,129.9,2005,1543052,115.5,1780,1541502,115.9,1788,1542840
충청북도,114.9,1828,1591625,127.8,2037,1594432,111.9,1789,1599252,103.6,1657,1600007,107.2,1716,1600837
충청남도,107.9,2263,2096727,106.8,2261,2116770,85.4,1816,2126282,102.8,2183,2123709,106.8,2265,2121029
전라북도,113.9,2124,1864791,113.8,2110,1854607,120.5,2214,1836832,122.4,2226,1818917,113.3,2044,1804104
전라남도,121.9,2320,1903914,126.6,2401,1896424,128.6,2422,1882970,118.7,2218,1868745,113.2,2096,1851549
경상북도,119.7,3232,2700398,116.7,3142,2691706,123.3,3301,2676831,110.8,2955,2665836,108.3,2858,2639422
경상남도,101.3,3417,3373871,105,3551,3380404,99.1,3344,3373988,96.4,3242,3362553,97.1,3243,3340216
제주특별자치도,121.6,780,641597,121.6,799,657083,119.5,797,667191,114.6,769,670989,127.3,859,674635
